id,latency,dsp,uram,bram,NumAlu,PermTput,ScratchSize
56,23299.35872,11,452,64,1,2,14696448
57,23299.35872,11,460,64,1,2,14958592
58,23299.35872,11,468,64,1,2,15220736
59,23299.35872,11,476,64,1,2,15482880
60,23299.35872,11,484,64,1,2,15745024
61,23299.35872,11,492,64,1,2,16007168
62,23299.35872,11,500,64,1,2,16269312
63,23299.35872,11,508,64,1,2,16531456
64,23299.35872,11,516,64,1,2,16793600
65,23299.35872,11,524,64,1,2,17055744
66,23299.35872,11,532,64,1,2,17317888
67,23299.35872,11,540,64,1,2,17580032
68,23299.35872,11,548,64,1,2,17842176
69,23299.35872,11,556,64,1,2,18104320
70,23299.35872,11,564,64,1,2,18366464
71,23299.35872,11,572,64,1,2,18628608
72,23299.35872,11,580,64,1,2,18890752
73,23299.35872,11,588,64,1,2,19152896
74,23299.35872,11,596,64,1,2,19415040
75,23299.35872,11,604,64,1,2,19677184
76,23299.35872,11,612,64,1,2,19939328
77,23299.35872,11,620,64,1,2,20201472
78,23299.35872,11,628,64,1,2,20463616
79,23299.35872,11,636,64,1,2,20725760
80,23299.35872,11,644,64,1,2,20987904
81,23299.35872,11,652,64,1,2,21250048
82,23299.35872,11,660,64,1,2,21512192
83,23299.35872,11,668,64,1,2,21774336
84,23299.35872,11,676,64,1,2,22036480
85,23299.35872,11,684,64,1,2,22298624
86,23299.35872,11,692,64,1,2,22560768
87,23299.35872,11,700,64,1,2,22822912
88,23299.35872,11,708,64,1,2,23085056
89,23299.35872,11,716,64,1,2,23347200
90,23299.35872,11,724,64,1,2,23609344
91,23299.35872,11,732,64,1,2,23871488
92,23299.35872,11,740,64,1,2,24133632
93,23299.35872,11,748,64,1,2,24395776
94,23299.35872,11,756,64,1,2,24657920
95,23299.35872,11,764,64,1,2,24920064
96,23299.35872,11,772,64,1,2,25182208
97,23299.35872,11,780,64,1,2,25444352
98,23299.35872,11,788,64,1,2,25706496
99,23299.35872,11,796,64,1,2,25968640
100,23299.35872,11,804,64,1,2,26230784
101,23299.35872,11,812,64,1,2,26492928
102,23299.35872,11,820,64,1,2,26755072
103,23299.35872,11,828,64,1,2,27017216
104,23299.35872,11,836,64,1,2,27279360
105,23299.35872,11,844,64,1,2,27541504
106,23299.35872,11,852,64,1,2,27803648
107,23299.35872,11,860,64,1,2,28065792
108,23299.35872,11,868,64,1,2,28327936
109,23299.35872,11,876,64,1,2,28590080
110,23299.35872,11,884,64,1,2,28852224
111,23299.35872,11,892,64,1,2,29114368
112,23299.35872,11,900,64,1,2,29376512
113,23299.35872,11,908,64,1,2,29638656
114,23299.35872,11,916,64,1,2,29900800
115,23299.35872,11,924,64,1,2,30162944
116,23299.35872,11,932,64,1,2,30425088
117,23299.35872,11,940,64,1,2,30687232
118,23299.35872,11,948,64,1,2,30949376
119,23299.35872,11,956,64,1,2,31211520
120,23299.35872,11,964,64,1,2,31473664
121,23299.35872,11,972,64,1,2,31735808
122,23299.35872,11,980,64,1,2,31997952
123,23299.35872,11,988,64,1,2,32260096
124,23299.35872,11,996,64,1,2,32522240
125,23299.35872,11,1004,64,1,2,32784384
126,23299.35872,11,1012,64,1,2,33046528
127,23299.35872,11,1020,64,1,2,33308672
128,23299.35872,11,1024,68,1,2,33570816
129,23299.35872,11,1024,132,1,2,33832960
130,23299.35872,11,1024,196,1,2,34095104
131,23299.35872,11,1024,260,1,2,34357248
132,23299.35872,11,1024,324,1,2,34619392
133,23299.35872,11,1024,388,1,2,34881536
134,23299.35872,11,1024,452,1,2,35143680
135,23299.35872,11,1024,516,1,2,35405824
136,23299.35872,11,1024,580,1,2,35667968
137,23299.35872,11,1024,644,1,2,35930112
138,23299.35872,11,1024,708,1,2,36192256
139,23299.35872,11,1024,772,1,2,36454400
140,23299.35872,11,1024,836,1,2,36716544
141,23299.35872,11,1024,900,1,2,36978688
142,23299.35872,11,1024,964,1,2,37240832
143,23299.35872,11,1024,1028,1,2,37502976
144,23299.35872,11,1024,1092,1,2,37765120
145,23299.35872,11,1024,1156,1,2,38027264
146,23299.35872,11,1024,1220,1,2,38289408
147,23299.35872,11,1024,1284,1,2,38551552
148,23299.35872,11,1024,1348,1,2,38813696
